#Instance ID, Set of Customers for delivery
1	{3, 6, 7, 9, 24, 17, 19, 20, 37, 43, 44, 52, 55, 66, 67, 68, 69, 74, 76, 77, 81, 82, 86, 91, 99}
2	{2, 3, 6, 9, 11, 15, 23, 24, 26, 17, 30, 32, 40, 43, 44, 50, 51, 52, 64, 66, 67, 68, 70, 78, 79, 83, 85, 86, 94}
3	{4, 8, 11, 13, 15, 16, 21, 26, 19, 20, 30, 37, 38, 40, 47, 51, 60, 62, 66, 69, 74, 87, 91, 96, 98, 99, 101}
4	{3, 4, 5, 7, 11, 14, 16, 23, 24, 26, 20, 34, 44, 46, 47, 55, 57, 58, 59, 60, 61, 63, 64, 74, 80, 88, 91, 92, 96, 99}
5	{16, 21, 25, 27, 38, 47, 49, 52, 53, 56, 61, 67, 70, 72, 75, 82, 85, 87, 90, 93, 96, 98, 99, 100}
6	{3, 5, 7, 9, 10, 11, 12, 16, 17, 18, 19, 29, 32, 34, 35, 36, 37, 38, 39, 42, 43, 45, 47, 51, 52, 53, 56, 61, 64, 66, 69, 70, 71, 72, 73, 74, 76, 78, 81, 83, 85, 90, 92, 93, 94, 95, 99, 100}
7	{2, 3, 4, 6, 7, 9, 11, 14, 15, 21, 22, 23, 24, 25, 26, 28, 17, 18, 29, 30, 31, 32, 33, 34, 36, 37, 38, 40, 41, 43, 44, 45, 46, 50, 51, 52, 53, 57, 59, 61, 63, 65, 67, 72, 76, 78, 79, 82, 84, 86, 88, 89, 91, 94, 95, 96, 97, 98, 100, 102, 103}
8	{1, 2, 4, 6, 7, 9, 12, 14, 15, 21, 22, 23, 26, 31, 32, 34, 37, 38, 39, 42, 50, 52, 54, 57, 59, 60, 62, 63, 66, 70, 78, 80, 81, 83, 85, 87, 88, 90, 92, 93, 95, 96, 97, 99, 104}
9	{3, 4, 7, 8, 12, 15, 21, 22, 19, 30, 31, 32, 33, 35, 37, 41, 42, 44, 45, 46, 47, 50, 51, 53, 54, 55, 57, 60, 66, 67, 68, 71, 72, 73, 74, 75, 77, 78, 79, 81, 82, 84, 87, 88, 89, 90, 92, 94, 95, 97, 100, 101}
10	{5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 23, 24, 25, 18, 29, 31, 33, 36, 38, 39, 41, 42, 45, 46, 47, 49, 51, 53, 54, 55, 56, 59, 63, 66, 67, 68, 70, 78, 79, 80, 83, 85, 86, 87, 88, 90, 94, 102, 103}
11	{1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 14, 15, 21, 22, 23, 24, 25, 26, 27, 28, 17, 18, 20, 29, 30, 32, 35, 36, 38, 39, 40, 41, 42, 43, 46, 47, 48, 50, 51, 52, 53, 54, 55, 57, 58, 61, 62, 65, 66, 68, 70, 71, 72, 74, 75, 76, 77, 78, 80, 81, 82, 83, 84, 85, 86, 89, 91, 93, 96, 97, 98, 100, 101, 102, 103}
12	{1, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 21, 22, 25, 26, 27, 18, 19, 20, 30, 32, 33, 34, 36, 37, 38, 40, 43, 44, 46, 47, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 66, 67, 68, 69, 71, 72, 73, 74, 75, 76, 77, 79, 81, 83, 84, 85, 86, 87, 88, 89, 90, 92, 93, 94, 95, 96, 98, 100, 101, 102, 103, 104}
13	{1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24, 26, 27, 28, 17, 18, 19, 20, 29, 30, 31, 32, 34, 38, 39, 40, 41, 42, 44, 45, 46, 47, 49, 52, 54, 55, 57, 61, 62, 67, 68, 69, 70, 71, 73, 74, 75, 77, 78, 80, 81, 83, 84, 86, 87, 88, 90, 91, 94, 95, 96, 97, 98, 99, 100, 101, 103, 104}
14	{1, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 27, 28, 17, 18, 19, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 71, 72, 73, 74, 75, 76, 77, 78, 79, 81, 82, 84, 85, 86, 87, 89, 90, 91, 92, 93, 95, 96, 97, 98, 99, 100, 101, 103}
15	{3, 4, 5, 7, 8, 12, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 19, 20, 29, 31, 32, 33, 35, 36, 37, 38, 39, 41, 43, 44, 45, 46, 47, 52, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 72, 73, 74, 77, 79, 80, 81, 82, 84, 85, 87, 89, 90, 92, 93, 97, 98, 100, 103}
16	{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 17, 18, 19, 20, 29, 30, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 89, 90, 91, 92, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104}
17	{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98, 99, 100, 101, 102, 103, 104}
18	{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 26, 27, 28, 17, 18, 19, 20, 29, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 81, 82, 83, 84, 85, 86, 88, 89, 90, 91, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104}
19	{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104}
20	{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 26, 27, 28, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104};
