#Customer ID, Road Network Node used as turning point for that customer
1	261
2	260
3	259
4	258
5	256
6	255
7	254
8	262
9	260
10	259
11	257
12	256
13	63
14	252
15	252
16	250
17	31
18	60
19	62
20	60
21	250
22	247
23	247
24	245
25	248
26	247
27	246
28	245
29	29
30	28
31	27
32	25
33	24
34	22
35	30
36	27
37	26
38	24
39	23
40	18
41	17
42	16
43	79
44	80
45	82
46	83
47	85
48	86
49	87
50	101
51	267
52	267
53	267
54	267
55	101
56	99
57	98
58	5
59	2
60	4
61	3
62	96
63	95
64	94
65	2
66	93
67	12
68	140
69	139
70	138
71	126
72	53
73	51
74	52
75	48
76	47
77	45
78	20
79	35
80	34
81	36
82	38
83	38
84	40
85	39
86	41
87	58
88	28
89	267
90	241
91	242
92	101
93	270
94	50
95	270
96	270
97	270
98	43
99	44
100	42
101	267
102	270
103	97
104	46;
